state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-10-02,"35,487","35,372","35,602",4.88,4.58,5.18,"719,385","714,133","724,637"
CW,2020-10-03,"35,519","35,383","35,656",4.90,4.58,5.22,"716,512","711,295","721,730"
CW,2020-10-04,"36,277","36,134","36,420",5.03,4.70,5.35,"713,479","708,303","718,655"
CW,2020-10-05,"37,804","37,684","37,924",5.24,4.94,5.53,"715,098","710,296","719,899"
CW,2020-10-06,"39,614","39,506","39,723",5.45,5.19,5.72,"719,360","714,959","723,760"
CW,2020-10-07,"39,939","39,825","40,053",5.48,5.24,5.72,"723,914","720,075","727,754"
CW,2020-10-08,"40,440","40,295","40,586",5.53,5.34,5.73,"725,153","722,656","727,651"
CW,2020-10-09,"40,345","40,251","40,438",5.49,5.37,5.62,"729,111","727,032","731,189"
CW,2020-10-10,"39,878","39,752","40,005",5.44,5.25,5.64,"729,052","726,563","731,541"
CW,2020-10-11,"40,170","40,024","40,316",5.50,5.27,5.73,"726,957","724,089","729,825"
CW,2020-10-12,"41,603","41,466","41,740",5.69,5.48,5.90,"729,181","726,805","731,557"
CW,2020-10-13,"42,933","42,810","43,056",5.85,5.65,6.06,"733,496","731,135","735,858"
CW,2020-10-14,"42,765","42,629","42,901",5.81,5.60,6.03,"735,442","733,057","737,827"
CW,2020-10-15,"42,769","42,651","42,886",5.82,5.62,6.02,"734,721","732,398","737,045"
CW,2020-10-16,"42,941","42,819","43,062",5.85,5.66,6.04,"734,315","732,206","736,424"
CW,2020-10-17,"42,485","42,339","42,631",5.81,5.58,6.03,"731,892","729,584","734,200"
CW,2020-10-18,"42,639","42,505","42,773",5.84,5.64,6.04,"730,012","728,050","731,975"
CW,2020-10-19,"43,976","43,877","44,075",6.00,5.85,6.16,"732,466","730,830","734,101"
CW,2020-10-20,"45,775","45,689","45,861",6.15,6.02,6.28,"744,550","743,224","745,875"
CW,2020-10-21,"46,505","46,432","46,578",6.22,6.10,6.35,"746,960","745,435","748,484"
CW,2020-10-22,"46,366","46,297","46,435",6.20,6.07,6.33,"748,811","747,223","750,398"
CW,2020-10-23,"46,671","46,582","46,761",6.24,6.11,6.37,"748,303","746,707","749,899"
CW,2020-10-24,"46,611","46,501","46,721",6.24,6.08,6.40,"748,139","746,270","750,007"
CW,2020-10-25,"47,181","47,081","47,280",6.34,6.19,6.48,"745,362","743,526","747,199"
CW,2020-10-26,"48,803","48,728","48,878",6.55,6.43,6.68,"745,437","743,770","747,103"
CW,2020-10-27,"50,405","50,287","50,523",6.75,6.59,6.91,"747,414","745,697","749,130"
CW,2020-10-28,"51,057","50,910","51,203",6.82,6.63,7.01,"748,801","746,845","750,758"
CW,2020-10-29,"51,823","51,682","51,964",7.03,6.69,7.37,"737,268","732,899","741,638"
CW,2020-10-30,"52,521","52,297","52,745",7.27,6.98,7.56,"722,828","720,267","725,389"
CW,2020-10-31,"52,657","52,304","53,009",7.32,6.79,7.85,"719,725","714,536","724,914"
CW,2020-11-01,"53,069","52,643","53,495",7.40,6.75,8.06,"717,711","711,182","724,240"
AL,2020-10-02,887,883,891,6.36,5.40,7.32,"13,947","13,687","14,207"
AZ,2020-10-02,576,573,579,4.61,4.36,4.86,"11,773","11,033","12,513"
CA,2020-10-02,"3,126","3,098","3,154",5.14,4.65,5.63,"60,826","60,447","61,205"
CT,2020-10-02,215,215,215,2.65,2.65,2.65,"8,121","8,121","8,121"
DC,2020-10-02,145,145,145,5.04,5.04,5.04,"2,878","2,878","2,878"
DE,2020-10-02,124,117,131,5.19,1.58,8.80,"2,390","2,257","2,523"
GA,2020-10-02,"1,746","1,741","1,751",10.02,9.73,10.31,"17,429","17,362","17,496"
ID,2020-10-02,144,142,146,4.02,3.52,4.52,"3,584","3,565","3,603"
IN,2020-10-02,926,890,962,5.70,3.65,7.76,"16,234","15,934","16,534"
KS,2020-10-02,402,395,409,5.24,2.84,7.63,"7,564","7,182","7,946"
LA,2020-10-02,545,544,546,4.16,4.16,4.16,"12,761","12,473","13,049"
MD,2020-10-02,653,653,653,6.36,6.36,6.36,"10,267","10,267","10,267"
MI,2020-10-02,730,728,732,3.31,3.17,3.45,"22,052","21,990","22,114"
AL,2020-10-03,881,877,885,6.28,6.02,6.55,"14,024","13,977","14,071"
AZ,2020-10-03,597,581,613,4.69,3.14,6.23,"11,993","11,228","12,757"
CA,2020-10-03,"3,143","3,112","3,175",5.18,4.67,5.69,"60,654","60,336","60,973"
CT,2020-10-03,274,274,274,3.39,3.39,3.39,"8,092","8,092","8,092"
DC,2020-10-03,159,159,159,5.52,5.52,5.52,"2,878","2,878","2,878"
DE,2020-10-03,123,117,129,5.15,1.91,8.38,"2,389","2,270","2,508"
GA,2020-10-03,"1,752","1,732","1,773",9.94,8.63,11.26,"17,626","17,320","17,932"
ID,2020-10-03,155,153,157,4.37,3.74,4.99,"3,549","3,513","3,585"
IN,2020-10-03,956,951,962,5.89,5.53,6.26,"16,235","16,161","16,309"
KS,2020-10-03,403,364,442,5.27,-0.30,10.85,"7,555","7,004","8,106"
LA,2020-10-03,533,532,534,4.06,4.06,4.06,"12,771","12,485","13,057"
MD,2020-10-03,615,615,615,6.07,6.07,6.07,"10,131","10,131","10,131"
MI,2020-10-03,706,698,714,3.22,2.75,3.70,"21,911","21,754","22,068"
AL,2020-10-04,916,909,923,6.59,6.17,7.01,"13,898","13,853","13,943"
AZ,2020-10-04,632,615,649,5.03,3.41,6.65,"11,856","11,118","12,593"
CA,2020-10-04,"3,172","3,144","3,199",5.25,4.78,5.71,"60,472","60,157","60,786"
CT,2020-10-04,221,221,221,2.73,2.73,2.73,"8,088","8,088","8,088"
DC,2020-10-04,144,144,144,5.11,5.11,5.11,"2,819","2,819","2,819"
DE,2020-10-04,135,130,140,5.83,3.09,8.56,"2,317","2,219","2,415"
GA,2020-10-04,"1,717","1,697","1,737",9.75,8.72,10.78,"17,600","17,393","17,807"
ID,2020-10-04,159,158,160,4.47,3.97,4.96,"3,561","3,528","3,594"
IN,2020-10-04,"1,020","1,012","1,028",6.29,5.80,6.78,"16,229","16,131","16,327"
KS,2020-10-04,396,391,402,5.22,3.04,7.40,"7,543","7,191","7,896"
LA,2020-10-04,563,562,564,4.32,4.27,4.38,"12,694","12,408","12,980"
MD,2020-10-04,631,631,631,6.18,6.18,6.18,"10,204","10,204","10,204"
MI,2020-10-04,752,747,756,3.44,3.11,3.76,"21,869","21,738","22,000"
AL,2020-10-05,891,891,891,6.42,6.34,6.50,"13,878","13,857","13,899"
AZ,2020-10-05,656,648,665,4.84,2.53,7.15,"13,551","12,858","14,244"
CA,2020-10-05,"3,195","3,175","3,216",5.28,4.95,5.61,"60,543","60,344","60,742"
CT,2020-10-05,246,246,246,3.05,3.05,3.05,"8,072","8,072","8,072"
DC,2020-10-05,158,158,158,5.46,5.46,5.46,"2,892","2,892","2,892"
DE,2020-10-05,139,139,139,5.98,5.98,5.98,"2,325","2,325","2,325"
GA,2020-10-05,"1,796","1,793","1,799",10.26,10.12,10.40,"17,495","17,461","17,529"
ID,2020-10-05,182,182,182,5.14,5.14,5.14,"3,543","3,543","3,543"
IN,2020-10-05,"1,084","1,077","1,090",6.68,6.34,7.01,"16,234","16,188","16,280"
KS,2020-10-05,416,378,453,5.47,0.25,10.70,"7,572","7,061","8,083"
LA,2020-10-05,613,611,615,4.74,4.61,4.86,"12,686","12,403","12,968"
MD,2020-10-05,664,664,664,6.53,5.98,7.09,"10,163","10,053","10,273"
MI,2020-10-05,840,836,843,3.84,3.58,4.10,"21,850","21,735","21,965"
AL,2020-10-06,964,956,971,6.89,6.47,7.30,"13,991","13,961","14,021"
AZ,2020-10-06,666,659,674,4.88,2.62,7.13,"13,666","12,982","14,351"
CA,2020-10-06,"3,214","3,194","3,235",5.26,4.88,5.63,"61,144","60,830","61,457"
CT,2020-10-06,260,259,261,3.22,3.22,3.22,"8,082","8,082","8,082"
DC,2020-10-06,172,172,172,5.98,5.98,5.98,"2,878","2,878","2,878"
DE,2020-10-06,154,154,154,6.53,6.53,6.53,"2,360","2,360","2,360"
GA,2020-10-06,"1,770","1,758","1,783",10.11,9.46,10.75,"17,508","17,378","17,638"
ID,2020-10-06,182,182,182,5.14,5.08,5.20,"3,542","3,538","3,546"
IN,2020-10-06,"1,090","1,076","1,103",6.68,5.96,7.41,"16,298","16,205","16,391"
KS,2020-10-06,435,409,461,5.72,2.05,9.38,"7,574","7,208","7,940"
LA,2020-10-06,588,586,590,4.50,4.36,4.64,"12,784","12,507","13,061"
MD,2020-10-06,742,742,742,7.22,7.22,7.22,"10,280","10,280","10,280"
MI,2020-10-06,887,876,898,4.06,3.51,4.62,"21,840","21,703","21,976"
AL,2020-10-07,924,923,925,6.60,6.49,6.71,"13,997","13,968","14,026"
AZ,2020-10-07,696,693,699,5.06,2.89,7.23,"13,758","13,093","14,422"
CA,2020-10-07,"3,169","3,135","3,204",5.16,4.58,5.75,"61,393","60,973","61,813"
CT,2020-10-07,263,263,263,3.25,3.25,3.25,"8,091","8,091","8,091"
DC,2020-10-07,153,153,153,5.29,5.29,5.29,"2,892","2,892","2,892"
